# sibling_analyze model curve (predicted sibling - same-CCX, ns)
# machine=zen5 mca_mcpu=native
# C=1.1253 calib_scale=0.8200 dh_ns=50.00 presence_tax=0.0300 producer_ns=4.83 freq_ghz=4.980
# wstar_mid=1654 wstar_lo=1100 wstar_hi=3315
w_ns,delta_ns
10.000,-49.6200
11.237,-49.5752
12.626,-49.5253
14.187,-49.4698
15.942,-49.4080
17.913,-49.3393
20.128,-49.2628
22.617,-49.1777
25.413,-49.0831
28.556,-48.9778
32.087,-48.8607
36.055,-48.7303
40.513,-48.5852
45.523,-48.4235
51.152,-48.2434
57.477,-48.0426
64.584,-47.8185
72.570,-47.5684
81.544,-47.2890
91.627,-46.9768
102.958,-46.6275
115.689,-46.2367
129.994,-45.7992
146.069,-45.3091
164.131,-44.7599
184.426,-44.1442
207.231,-43.4537
232.857,-42.6791
261.650,-41.8099
294.005,-40.8344
330.360,-39.7392
371.211,-38.5095
417.112,-37.1287
468.690,-35.5780
526.646,-33.8362
591.769,-31.8797
664.944,-29.6820
747.167,-27.2130
839.558,-24.4392
943.373,-21.3229
1060.026,-17.8217
1191.103,-13.8878
1338.389,-9.4679
1503.887,-4.5018
1689.850,1.0782
1898.808,7.3478
2133.605,14.3926
2397.435,22.3083
2693.889,31.2026
3027.002,41.1966
3401.305,52.4262
3821.893,65.0443
4294.488,79.2226
4825.522,95.1540
5422.221,113.0554
6092.705,133.1702
6846.097,155.7722
7692.650,181.1690
8643.883,209.7062
9712.740,241.7722
10913.767,277.8031
12263.307,318.2895
13779.724,363.7821
15483.653,414.9001
17398.281,472.3391
19549.661,536.8806
21967.071,609.4030
24683.405,690.8931
27735.626,782.4598
31165.269,885.3491
35019.005,1000.9612
39349.273,1130.8693
44214.999,1276.8412
49682.396,1440.8631
55825.863,1625.1671
62728.999,1832.2612
70485.740,2064.9635
79201.641,2326.4406
88995.304,2620.2505
100000.000,2950.3914
